dataset,model,seed,fin_test_acc_inst,fin_test_hinge_inst,fin_sparsity_inst,L1_inst
avazu-app_binary_sparse,PAC,0,0.8780200336070587,0.4407887126877674,0.9795520204479796,0.07744698130861156
avazu-app_binary_sparse,PAC,1,0.8206532686038912,0.4466558519167065,0.9796090203909796,0.08934972723575267
avazu-app_binary_sparse,PAC,2,0.8694648037083776,0.4284164751232602,0.9795260204739796,0.07105034137004089
avazu-app_binary_sparse,PAC,3,0.8761837033626698,0.4079076346135384,0.9795600204399796,0.07955610113699593
avazu-app_binary_sparse,PAC,4,0.8806344234388909,0.4602017000978619,0.9795500204499796,0.07339425486718734
avazu-site_binary_sparse,PAC,0,0.8053367233348676,0.6354288131952326,0.9751570248429752,0.0010588490689315492
avazu-site_binary_sparse,PAC,1,0.8062180308287297,0.4881172405989228,0.9751030248969752,0.0009270705424606109
avazu-site_binary_sparse,PAC,2,0.8068615272374985,0.5221807233072667,0.9750880249119752,0.0009930445449494285
avazu-site_binary_sparse,PAC,3,0.807387343934056,0.6045495025381582,0.9751080248919752,0.0009007204864499828
avazu-site_binary_sparse,PAC,4,0.8074552162242129,0.5385026332074094,0.9751530248469752,0.0010616865499909942
criteo_binary_sparse,PAC,0,0.794848397277297,0.556242964240236,0.337096662903337,0.0016184946150169914
criteo_binary_sparse,PAC,1,0.7958525845390112,0.6147655637533231,0.3370926629073371,0.0015165157312126225
criteo_binary_sparse,PAC,2,0.7936409954084935,0.6487634528086537,0.3371006628993371,0.0012844048056452945
criteo_binary_sparse,PAC,3,0.7933973691707187,0.5323635853740215,0.3371016628983371,0.0014431202393708515
criteo_binary_sparse,PAC,4,0.7962804081459054,0.5798999381914769,0.3371036628963371,0.0015894892996625683
dexter_binary_sparse,PAC,0,0.95,0.3718371845298485,0.5778211089445529,0.0395502645502646
dexter_binary_sparse,PAC,1,0.9166666666666666,0.3345183318205367,0.568471576421179,0.03158730158730158
dexter_binary_sparse,PAC,2,0.9611111111111112,0.3571441384376988,0.5702714864256787,0.06746031746031751
dexter_binary_sparse,PAC,3,0.9277777777777778,0.348927131425979,0.5671716414179291,0.047089947089947105
dexter_binary_sparse,PAC,4,0.9277777777777778,0.3744114654309575,0.5803209839508024,0.042513227513227475
dorothea_binary_sparse,PAC,0,0.9217391304347826,0.2449294566339319,0.1819481805181948,0.0027687648712956697
dorothea_binary_sparse,PAC,1,0.9188405797101448,0.2207404805215601,0.1518884811151888,0.0067488643737833665
dorothea_binary_sparse,PAC,2,0.9420289855072465,0.2444461663112649,0.1521584784152159,0.005249116735164762
dorothea_binary_sparse,PAC,3,0.9391304347826088,0.2014479104841961,0.2363176368236317,0.00367726584468958
dorothea_binary_sparse,PAC,4,0.9304347826086956,0.2113400970550339,0.1481385186148138,0.0019756291008724454
kdd2010-a_binary_sparse,PAC,0,0.8718719362252688,0.3461210351531799,0.467214421488709,0.006364418196047932
kdd2010-a_binary_sparse,PAC,1,0.8693059810863129,0.3645000374839198,0.4671389892906559,0.006718048846049892
kdd2010-a_binary_sparse,PAC,2,0.8701458501609282,0.36121571399144,0.4674511054675186,0.006253513459361844
kdd2010-a_binary_sparse,PAC,3,0.8643217113444371,0.3800665689503091,0.4670524772156428,0.006178632306832075
kdd2010-a_binary_sparse,PAC,4,0.8749080984384864,0.3180411489403426,0.4672483536118988,0.005595924985084908
mnist8-4+9_binary_sparse,PAC,0,0.9213378677209676,0.2030628140659055,0.0382165605095541,0.020878184214623507
mnist8-4+9_binary_sparse,PAC,1,0.932543305635596,0.1779849162888555,0.0420382165605095,0.021778014787684576
mnist8-4+9_binary_sparse,PAC,2,0.9263699490719024,0.1911755105193557,0.0445859872611464,0.021451660814069306
mnist8-4+9_binary_sparse,PAC,3,0.932398813911412,0.1781251963990653,0.0369426751592356,0.027617172380408454
mnist8-4+9_binary_sparse,PAC,4,0.9011530020773304,0.2594770542014309,0.0356687898089171,0.02331533213780991
news20_binary_sparse,PAC,0,0.9331885752463672,0.1843491787203647,0.4819649171482713,0.05960451256869355
news20_binary_sparse,PAC,1,0.9478870886921664,0.1496404178617507,0.4837661379346986,0.05802967184235795
news20_binary_sparse,PAC,2,0.9498914314347754,0.14583935376505,0.482401755618392,0.0507034535417872
news20_binary_sparse,PAC,3,0.9585769166527476,0.1368248206484373,0.4634590522966487,0.05211867091341584
news20_binary_sparse,PAC,4,0.9503925171204276,0.1438873287695328,0.4635955643185615,0.06440390962026922
newsgroups_binary_sparse,PAC,0,0.8614852566436112,0.4767959406809419,0.2402392947103274,0.03913993918286252
newsgroups_binary_sparse,PAC,1,0.8538405533309065,0.4721137743898696,0.2058701983627203,0.03282006422202783
newsgroups_binary_sparse,PAC,2,0.8658536585365854,0.4924347380179417,0.2632340207808564,0.03165280260510336
newsgroups_binary_sparse,PAC,3,0.8724062613760466,0.504673199828171,0.2403573677581864,0.0329903087402449
newsgroups_binary_sparse,PAC,4,0.8591190389515836,0.4663395773403279,0.2036563287153652,0.03465290946070523
pcmac_binary_sparse,PAC,0,0.9073756432247,0.2899877560148879,0.0601823708206686,0.01931374252877039
pcmac_binary_sparse,PAC,1,0.8902229845626072,0.3064018632791991,0.0571428571428571,0.02020537852970735
pcmac_binary_sparse,PAC,2,0.8902229845626072,0.3007762382418061,0.068693009118541,0.020008916360009402
pcmac_binary_sparse,PAC,3,0.8833619210977701,0.3097183890050722,0.0617021276595745,0.01855811879916278
pcmac_binary_sparse,PAC,4,0.8250428816466552,0.4560363018960544,0.0580547112462006,0.020734315140432648
rcv1_binary_sparse,PAC,0,0.9667404069892448,0.0894956116053197,0.2606219700658382,0.011993327072501603
rcv1_binary_sparse,PAC,1,0.8670237418356085,0.3500586643897683,0.2591400808688104,0.012182259758053501
rcv1_binary_sparse,PAC,2,0.9696358693315114,0.0817255575901065,0.2588013633380612,0.010687699524195326
rcv1_binary_sparse,PAC,3,0.9666687371292876,0.088799015500449,0.2591400808688104,0.01303495280830916
rcv1_binary_sparse,PAC,4,0.971346389989154,0.0762841975175264,0.2587590236467176,0.012489548739700342
real-sim_binary_sparse,PAC,0,0.957665851068741,0.1077433348535937,0.0967603416193521,0.02184199265892964
real-sim_binary_sparse,PAC,1,0.9647754027976548,0.0883815102952547,0.0968080538193616,0.022442379304254325
real-sim_binary_sparse,PAC,2,0.9496791468537924,0.1228496986199925,0.0969511904193902,0.02398974151907926
real-sim_binary_sparse,PAC,3,0.9574811873874706,0.1108158739762909,0.0936590486187317,0.0265984605388183
real-sim_binary_sparse,PAC,4,0.9604358062877985,0.1048038146511866,0.101245288420249,0.019880515248419724
sst2_binary_sparse,PAC,0,0.8353628353628354,0.4451668555910493,0.1154964384358191,0.02547036129125682
sst2_binary_sparse,PAC,1,0.8283833283833284,0.45151428045265,0.1125163541212385,0.024052591216770315
sst2_binary_sparse,PAC,2,0.8304128304128304,0.440288015551293,0.1219654019479575,0.02641825029884734
sst2_binary_sparse,PAC,3,0.8316008316008316,0.4485993040600664,0.120293647332461,0.02480814421112929
sst2_binary_sparse,PAC,4,0.8305613305613305,0.4557384578834478,0.1133885739206279,0.02571047347166752
url_binary_sparse,PAC,0,0.981930585291004,0.0482469337634812,0.8859968031802354,0.006158493312312385
url_binary_sparse,PAC,1,0.9743238750262576,0.066450695111005,0.8851471644778002,0.006983919115178541
url_binary_sparse,PAC,2,0.9738341965307948,0.0634079468590339,0.8861419162725305,0.00586576728385249
url_binary_sparse,PAC,3,0.9849256926794456,0.0408267096082176,0.8855023666738656,0.004975062088612884
url_binary_sparse,PAC,4,0.9824007879372154,0.0472476963656894,0.8860153677549427,0.006846875301736376
w8a_binary_sparse,PAC,0,0.9482390007876674,0.1526650968611869,0.0033222591362126,0.009351800690482455
w8a_binary_sparse,PAC,1,0.9781140992460898,0.0728187126981179,0.0,0.005846205005130733
w8a_binary_sparse,PAC,2,0.9837402948126476,0.0564255210060015,0.0,0.006283984600458972
