model,dataset,log2eta,log10lmbda,seed,final_test-set-acc,l1-regret,l2-regret
FSOL,avazu-app_binary_sparse,-1.0,-1.0,0,0.8828101128106473,0.008966413928840122,0.03200924385539685
FSOL,avazu-app_binary_sparse,-1.0,-1.0,1,0.8830311758222836,0.007675595013883178,0.01867604913746031
FSOL,avazu-app_binary_sparse,-1.0,-1.0,2,0.8834059324360185,0.006661877028377148,0.029381291571996444
FSOL,avazu-app_binary_sparse,-1.0,-1.0,3,0.8832940307049215,0.006063168850541224,0.020657010592255307
FSOL,avazu-app_binary_sparse,-1.0,-1.0,4,0.883369621466132,0.006365633644784609,0.0201678025794681
FSOL,avazu-app_binary_sparse,-1.0,-2.0,0,0.8828735999152287,0.008340797556400825,0.030001655534508107
FSOL,avazu-app_binary_sparse,-1.0,-2.0,1,0.8829907541765608,0.008337088225427629,0.02095217975361436
FSOL,avazu-app_binary_sparse,-1.0,-2.0,2,0.8828089709562482,0.00735780675971561,0.02980880344670392
FSOL,avazu-app_binary_sparse,-1.0,-2.0,3,0.8832268896662634,0.005850223180077531,0.02130358126242605
FSOL,avazu-app_binary_sparse,-1.0,-2.0,4,0.8831905786963768,0.006824296206961813,0.01890154230009715
FSOL,avazu-app_binary_sparse,-1.0,-3.0,0,0.8828322647859868,0.009524515050932074,0.03597014092973726
FSOL,avazu-app_binary_sparse,-1.0,-3.0,1,0.8831003721988598,0.007608909586435645,0.0192921137388434
FSOL,avazu-app_binary_sparse,-1.0,-3.0,2,0.8827589577335743,0.007492807866138641,0.02930684880796089
FSOL,avazu-app_binary_sparse,-1.0,-3.0,3,0.8825024972355705,0.006697468969157034,0.02946373087309255
FSOL,avazu-app_binary_sparse,-1.0,-3.0,4,0.8826566475794285,0.006489951064009567,0.016446496221961523
FSOL,avazu-app_binary_sparse,-1.0,-inf,0,0.8828772538493054,0.010853105604967111,0.038832718759233706
FSOL,avazu-app_binary_sparse,-1.0,-inf,1,0.882491078691581,0.006728701513340572,0.016235154808098253
FSOL,avazu-app_binary_sparse,-1.0,-inf,2,0.8833212068396165,0.00835036426127597,0.03226115670392771
FSOL,avazu-app_binary_sparse,-1.0,-inf,3,0.8832611452982319,0.006998313686812668,0.0224620890014355
FSOL,avazu-app_binary_sparse,-1.0,-inf,4,0.8825990981177215,0.007038765857356007,0.019878798681168108
