model,dataset,log10Cerr,seed,final_test-set-acc,l1-regret,l2-regret
PAC,avazu-app_binary_sparse,-1.0,0,0.8825013553811716,0.01353672912148967,0.03509400500802523
PAC,avazu-app_binary_sparse,-1.0,1,0.8815079420540864,0.011788413240281572,0.025350165118504856
PAC,avazu-app_binary_sparse,-1.0,2,0.8827377192417538,0.01104254151085046,0.03129478054104962
PAC,avazu-app_binary_sparse,-1.0,3,0.8826281012194548,0.00911304273080092,0.020241139229842737
PAC,avazu-app_binary_sparse,-1.0,4,0.8825253343235495,0.010520799972248189,0.023966793175184284
PAC,avazu-app_binary_sparse,-2.0,0,0.8828813645251415,0.00015280159900858914,0.00027455536778888567
PAC,avazu-app_binary_sparse,-2.0,1,0.8828553302448455,0.00013213403438761974,0.00020100976205399387
PAC,avazu-app_binary_sparse,-2.0,2,0.8834109565953738,0.00012694820653813609,0.00018848886656785578
PAC,avazu-app_binary_sparse,-2.0,3,0.8830789053361596,0.00013704626940090958,0.00021731842295699005
PAC,avazu-app_binary_sparse,-2.0,4,0.8830366567233986,0.00012593297361709036,0.00022611066292024023
PAC,avazu-app_binary_sparse,-3.0,0,0.8822213726825494,7.404869249734147e-05,0.00011437498416092426
PAC,avazu-app_binary_sparse,-3.0,1,0.8824285050705186,5.919101872409677e-05,9.828576175591513e-05
PAC,avazu-app_binary_sparse,-3.0,2,0.8827667223434872,9.101257888965052e-05,0.00013822436215845548
PAC,avazu-app_binary_sparse,-3.0,3,0.8824006438231843,6.320107570734092e-05,9.924482401846224e-05
PAC,avazu-app_binary_sparse,-3.0,4,0.8825146008921994,6.489689907210905e-05,0.00010574849568002454
PAC,avazu-app_binary_sparse,0.0,0,0.8780200336070587,0.07706358041104418,0.14376135155281444
PAC,avazu-app_binary_sparse,0.0,1,0.8206532686038912,0.08890740185339747,0.16132709965111916
PAC,avazu-app_binary_sparse,0.0,2,0.8694648037083776,0.07069860700682287,0.13435845176389513
PAC,avazu-app_binary_sparse,0.0,3,0.8761837033626698,0.07916225905215932,0.1436768803137575
PAC,avazu-app_binary_sparse,0.0,4,0.8806344234388909,0.07303091697180522,0.14026844077646372
PAC,avazu-app_binary_sparse,1.0,0,0.873698114707039,0.0959221819850821,0.16320237159483275
PAC,avazu-app_binary_sparse,1.0,1,0.8501948688717246,0.11350785558066143,0.19441974873846832
PAC,avazu-app_binary_sparse,1.0,2,0.8531789911579363,0.09267384024369825,0.1576011536318606
PAC,avazu-app_binary_sparse,1.0,3,0.8256566462092032,0.10480082122711037,0.17445652583793297
PAC,avazu-app_binary_sparse,1.0,4,0.880760255793655,0.09537152439701255,0.1687751901466
PAC,avazu-app_binary_sparse,2.0,0,0.8688383823851146,0.09704144801681171,0.16124577460755232
PAC,avazu-app_binary_sparse,2.0,1,0.8507804118075053,0.11679263943560536,0.19849624344246455
PAC,avazu-app_binary_sparse,2.0,2,0.8607282473311437,0.09573229499018365,0.1601193735737446
PAC,avazu-app_binary_sparse,2.0,3,0.8180091905576863,0.10927567513090998,0.17905215055715554
PAC,avazu-app_binary_sparse,2.0,4,0.8813974105482683,0.09993224235996642,0.17307682416197576
PAC,avazu-app_binary_sparse,3.0,0,0.8699044176519728,0.09740177204316339,0.1625148867951482
PAC,avazu-app_binary_sparse,3.0,1,0.8519519544208263,0.1177524596323832,0.2001970970615558
PAC,avazu-app_binary_sparse,3.0,2,0.8586359133305107,0.09686203216591634,0.16185520320494826
PAC,avazu-app_binary_sparse,3.0,3,0.8223619395264775,0.10970031382364526,0.17936260644485472
PAC,avazu-app_binary_sparse,3.0,4,0.8813309546222494,0.10088960700451202,0.17542822763616017
PAC,avazu-site_binary_sparse,-1.0,0,0.6015141714374048,0.03030614078435398,0.060902460147706505
PAC,avazu-site_binary_sparse,-1.0,1,0.8049131021778618,0.027069205790428007,0.05506755681792882
