model,dataset,log2eta,log10lmbda,test_acc,l1_regret,l2_regret
FSOL,avazu-app_binary_sparse,5.0,3.0,0.8701706067494557,0.07801130961334093,0.18523649984484575
FSOL,avazu-site_binary_sparse,-2.0,-3.0,0.7880042824060185,0.004172252993970496,0.014304359637289488
FSOL,criteo_binary_sparse,-2.0,-2.0,0.7857757227739006,0.0069143426083889655,0.01746015666014674
FSOL,dexter_binary_sparse,-3.0,2.0,0.8633333333333333,0.057888362295945225,0.08664173586159046
FSOL,dorothea_binary_sparse,9.0,1.0,0.9263768115942028,0.05596785765533076,0.1978971844434349
FSOL,kdd2010-a_binary_sparse,1.0,1.0,0.8428384808798031,0.0369600553469009,0.04461290411150351
FSOL,mnist8-4+9_binary_sparse,7.0,3.0,0.9092587783957649,0.025660562919355694,0.04073427289346769
FSOL,news20_binary_sparse,7.0,-1.0,0.9237013529313511,0.07050455725968356,0.1405660827168091
FSOL,newsgroups_binary_sparse,7.0,-inf,0.8402985074626865,0.06988307676781512,0.10325707427273374
FSOL,pcmac_binary_sparse,-1.0,-inf,0.8439108061749572,0.03481839246486714,0.05650246995887992
FSOL,rcv1_binary_sparse,7.0,-1.0,0.9666639591386238,0.012832296832622677,0.027796573250426004
FSOL,real-sim_binary_sparse,5.0,-3.0,0.9578505147500115,0.024372452018296333,0.05325059779426381
FSOL,sst2_binary_sparse,-2.0,0.0,0.8202059202059202,0.017419949598167422,0.023944947500143067
FSOL,url_binary_sparse,5.0,3.0,0.9597136493707215,0.016105649953509316,0.03003260855104877
FSOL,w8a_binary_sparse,9.0,3.0,0.9714639360864183,0.029815327093641063,0.16945002678985405
FSOL,webspam_binary_sparse,4.0,1.0,0.9045228140684374,0.04830730042080692,0.07781746550616625
